Point	Base E	Base N	Base RL	Easting	Northing	Reduced Level	dE	dN	dRL	dx	dy	dz
XYZ1100024	29076.9453	40775.051	11.7057	29076.9441	40775.0511	11.7057	-1.2	0.1	0.0	-1.1	0.5	0.0
XYZ1100025	29069.506	40777.7886	11.7144	29069.5049	40777.7883	11.7152	-1.1	-0.3	0.8	-1.1	0.1	0.8
XYZ1100026	29070.8663	40778.2035	11.7182	29070.8657	40778.2038	11.7184	-0.6	0.3	0.2	-0.4	0.5	0.2
XYZ1100027	29073.4553	40779.2125	11.7212	29073.4544	40779.2132	11.7214	-0.9	0.7	0.2	-0.6	1.0	0.2
XYZ1100028	29074.9261	40779.8015	11.716	29074.9263	40779.8016	11.7158	0.2	0.1	-0.2	0.2	0.0	-0.2
XYZ1100029	29067.7316	40781.9012	11.7665	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data
XYZ1100030	29069.2249	40782.6209	11.7747	29069.2249	40782.6211	11.7752	0.0	0.2	0.5	0.1	0.2	0.5
XYZ1100031	29071.7273	40783.5252	11.773	29071.7269	40783.5259	11.773	-0.4	0.7	0.0	-0.1	0.8	0.0
XYZ1100032	29073.2326	40783.9093	11.7596	29073.2322	40783.9099	11.7596	-0.4	0.6	0.0	-0.2	0.7	0.0
XYZ1100033	29065.3058	40788.2388	11.7992	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data
XYZ1100034	29066.7132	40788.9133	11.8147	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data
XYZ1100035	29069.1766	40790.1906	11.8052	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data
XYZ1100036	29070.7089	40790.3753	11.7932	29070.7092	40790.3757	11.7919	0.3	0.4	-1.3	0.4	0.3	-1.3
XYZ1100037	29064.2078	40791.7595	11.8022	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data
XYZ1100038	29065.6093	40791.6393	11.8134	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data
XYZ1100039	29067.5012	40794.1343	11.8101	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data
XYZ1100040	29069.1342	40794.1694	11.8005	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data
XYZ1100041	29061.0127	40799.0845	11.7817	29061.0134	40799.0852	11.7815	0.7	0.7	-0.2	0.9	0.4	-0.2
XYZ1100042	29062.353	40800.2108	11.7933	29062.3529	40800.2101	11.793	-0.1	-0.7	-0.3	-0.4	-0.6	-0.3
XYZ1100043	29065.2324	40800.2768	11.7868	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data
XYZ1100044	29066.7589	40800.7642	11.7838	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data
XYZ1100045	29060.2342	40800.8953	11.8004	29060.2344	40800.8957	11.8001	0.2	0.4	-0.3	0.3	0.3	-0.3
XYZ1100046	29061.7088	40801.329	11.8127	29061.7096	40801.3298	11.8124	0.8	0.8	-0.3	1.0	0.4	-0.3
XYZ1100047	29064.5021	40801.7979	11.808	29064.5028	40801.7989	11.8075	0.7	1.0	-0.5	1.0	0.7	-0.5
XYZ1100048	29065.9155	40802.5361	11.8055	29065.9168	40802.5372	11.8042	1.3	1.1	-1.3	1.6	0.5	-1.3
XYZ1100049	29059.0609	40804.9629	11.8543	29059.0616	40804.9635	11.8542	0.7	0.6	-0.1	0.9	0.3	-0.1
XYZ1100050	29060.1601	40805.5263	11.865	29060.1611	40805.5268	11.865	1.0	0.5	0.0	1.1	0.1	0.0
XYZ1100051	29062.4524	40806.7719	11.8676	29062.4531	40806.7727	11.8677	0.7	0.8	0.1	0.9	0.5	0.1
XYZ1100052	29064.0024	40807.4929	11.8608	29064.0025	40807.4941	11.8607	0.1	1.2	-0.1	0.5	1.1	-0.1
XYZ1100053	29056.6636	40810.0255	11.8881	29056.6646	40810.0258	11.888	1.0	0.3	-0.1	1.0	-0.1	-0.1
