Point	Base E	Base N	Base RL	Easting	Northing	Reduced Level	dE	dN	dRL	dx	dy	dz
IBB117	28570.5845	35140.004	86.8455	28570.5838	35140.0039	86.8457	-0.7	-0.1	0.2	0.2	0.7	0.2
IBB118	28567.5497	35138.1324	86.7422	28567.549	35138.1323	86.7428	-0.7	-0.1	0.6	0.2	0.7	0.6
IBB119	28565.7149	35137.0487	86.6816	28565.7146	35137.0486	86.6819	-0.3	-0.1	0.3	0.0	0.3	0.3
IBB120	28563.2736	35135.6048	86.5966	28563.2731	35135.6045	86.597	-0.5	-0.3	0.4	0.0	0.6	0.4
IBB121	28560.1941	35133.8424	86.4897	28560.1936	35133.8421	86.4895	-0.5	-0.3	-0.2	0.0	0.6	-0.2
IBB122	28557.5031	35132.3903	86.3932	28557.503	35132.3898	86.3935	-0.1	-0.5	0.3	-0.4	0.3	0.3
IBB123	28554.9843	35131.0199	86.3089	28554.984	35131.0192	86.3088	-0.3	-0.7	-0.1	-0.5	0.6	-0.1
IBB124	28552.5109	35129.7042	86.2201	28552.5111	35129.7035	86.2204	0.2	-0.7	0.3	-0.7	0.1	0.3
IBB125	28550.0265	35128.3888	86.1457	28550.0263	35128.388	86.146	-0.2	-0.8	0.3	-0.6	0.5	0.3
IBB126	28546.9205	35126.812	86.0411	28546.9203	35126.8116	86.041	-0.2	-0.4	-0.1	-0.3	0.4	-0.1
IBB127	28544.3875	35125.5733	85.9594	28544.3878	35125.5724	85.9586	0.3	-0.9	-0.8	-0.9	0.1	-0.8
IBB128	28541.8443	35124.4329	85.8743	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data
IBB129	28539.2832	35123.2186	85.7922	28539.2834	35123.2181	85.7925	0.2	-0.5	0.3	-0.5	0.1	0.3
IBB130	28536.7317	35121.9781	85.7061	28536.7315	35121.9778	85.7063	-0.2	-0.3	0.2	-0.2	0.3	0.2
IBB131	28533.5422	35120.5498	85.6034	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data
IBB132	28530.916	35119.4147	85.5177	28530.9159	35119.4145	85.5185	-0.1	-0.2	0.8	-0.1	0.2	0.8
IBB133	28528.9479	35118.6688	85.4391	28528.9472	35118.6681	85.439	-0.7	-0.7	-0.1	-0.3	0.9	-0.1
IBB134	28525.8057	35117.3319	85.3398	28525.805	35117.3319	85.3395	-0.7	0.0	-0.3	0.3	0.6	-0.3
IBB135	28522.5441	35116.0553	85.231	28522.5433	35116.0551	85.2313	-0.8	-0.2	0.3	0.2	0.8	0.3
IBB136	28520.4973	35115.2313	85.1685	28520.4966	35115.2311	85.1681	-0.7	-0.2	-0.4	0.1	0.7	-0.4
IBB137	28517.803	35114.2311	85.088	28517.8023	35114.2312	85.0878	-0.7	0.1	-0.2	0.4	0.6	-0.2
IBB138	28515.0394	35113.2246	84.9958	28515.0382	35113.2243	84.996	-1.2	-0.3	0.2	0.3	1.2	0.2
IBB139	28510.8215	35111.7945	84.857	28510.8209	35111.7944	84.8569	-0.6	-0.1	-0.1	0.2	0.6	-0.1
IBB140	28509.0056	35111.1452	84.8034	28509.0051	35111.1454	84.8032	-0.5	0.2	-0.2	0.4	0.4	-0.2
IBB141	28506.9615	35110.4488	84.7401	28506.9608	35110.4489	84.7395	-0.7	0.1	-0.6	0.4	0.6	-0.6
IBB142	28503.6453	35109.3847	84.6269	28503.6445	35109.3848	84.6262	-0.8	0.1	-0.7	0.5	0.7	-0.7
IBB143	28500.9017	35108.5513	84.5374	28500.901	35108.5513	84.537	-0.7	0.0	-0.4	0.3	0.6	-0.4
IBB144	28497.5879	35107.6199	84.4288	28497.5874	35107.6202	84.4287	-0.5	0.3	-0.1	0.5	0.3	-0.1
IBB145	28494.9398	35106.9938	84.3291	28494.9395	35106.9939	84.329	-0.3	0.1	-0.1	0.2	0.2	-0.1
